"樟原","Zhangyuan"
"潤泰街","Runtai St."
"榮光","Rongguang 5th Ln."
"匏杓崙路","Paoshaolun Rd."
"百福街","Baifu St."
"竹文街","Zhuwen St."
"西湖街","Xihu St."
"湖南","Hunan"
"筆秀路","Bixiu Rd."
"銘傳路","Mingchuan Rd."
"孝1路","Xiao 1st Rd."
"富安路","Fu’an Rd."
"武信街","Wuxin St."
"柑仔宅","Ganzaizhai"
"新厝路","Xincuo Rd."
"十全東街","Shiquan E. St."
"太原南1街","Taiyuan S. 1st St."
"新光街","Xinguang St."
"竹源街","Zhuyuan St."
"香蘭街","Xianglan St."
"文化1路","Wenhua 1st Rd."
"西城村","Xicheng Vil."
"橫2街","Heng 2nd St."
"北油一區","Beiyou 1st Dist."
"武慶1路","Wuqing 1st Rd."
"三榮1路","Sanrong 1st Rd."
"八寮","Baliao"
"福原","Fuyuan"
"大溪坪","Daxiping"
"農校一橫巷","Nongxiao 1st Side Ln."
"豐樂2街","Fengle 2nd St."
"風空","Fengkong"
"大光2街","Daguang 2nd St."
"仁山街","Renshan St."
"五谷路","Wugu Rd."
"國富24街","Guofu 24th St."
"鳳芸2路","Fengyun 2nd Rd."
"仰德街","Yangde St."
"新安6街","Xin’an 6th St."
"南工街","Nangong St."
"宏毅2路","Hongyi 2nd Rd."
"南豐3街","Nanfeng 3rd St."
"福南","Funan 3rd Ln."
"大新巷","Daxin Ln."
"直潭路","Zhitan Rd."
"育平3街","Yuping 3rd St."
"湖前","Huqian"
"大學六十街","Daxue 60th St."
"宏仁街","Hongren St."
"樂業街","Leye St."
"仁化工1路","Renhuagong 1st Rd."
"潭底路","Tandi Rd."
"慶豐1街","Qingfeng 1st St."
"堀邊巷","Juebian Ln."
"錦通街","Jintong St."
"尊重街","Zunchong St."
"龍濱路","Longbin Rd."
"敦惠莊","Dunhuizhuang"
"大龍街","Dalong St."
"仁昌路","Renchang Rd."
"源泰新村","Yuantai Vil."
"大竹路","Dazhu Rd."
"部坑巷","Bukeng Ln."
"文昌東8街","Wenchang E. 8th St."
"三百六坑","Sanbailiukeng"
"大興5街","Daxing 5th St."
"尚信街","Shangxin St."
"南勢6街","Nanshi 6th St."
"農環路","Nonghuan Rd."
"保和街","Baohe St."
"科虎2路","Kehu 2nd Rd."
"大青坑","Daqingkeng"
"仁新巷","Renxin Ln."
"小北埔","Xiaobeipu"
"西柳街","Xiliu St."
"名園街","Mingyuan St."
"古賢","Guxian"
"藝文1街","Yiwen 1st St."
"大鳥","Daniao"
"公埔路","Gongpu Rd."
"大新4街","Daxin 4th St."
"華月巷","Huayue Ln."
"國豐十街","Guofeng 10th St."
"豐谷北路","Fenggu N. Rd."
"頭崙巷","Toulun Ln."
"大坑墘巷","Dakengqian Ln."
"富有巷","Fuyou Ln."
"武淵路","Wuyuan Rd."
"南海5街","Nanhai 5th St."
"天母西路","Tianmu W. Rd."
"覆鼎金","Fudingjin"
"尖山湖","Jianshanhu"
"金山13街","Jinshan 13th St."
"大坑尾","Dakengwei"
"崁頂","Kanding"
"科屯2路","Ketun 2nd Rd."
"公正新村","Gongzheng Vil."
"中美4街","Zhongmei 4th St."
"賢達路","Xianda Rd."
"豐盛路","Fengsheng Rd."
"文明2街","Wenming 2nd St."
"小北坑","Xiaobeikeng"
"樹興街","Shuxing St."
"南西路","Nanxi Rd."
"建中1路","Jianzhong 1st Rd."
"雙園1街","Shuangyuan 1st St."
"南館街","Nanguan St."
"達天","Datian"
"華南街","Huanan St."
"公厝","Gongcuo"
"建國5街","Jianguo 5th St."
"福國路","Fuguo Rd."
"民權9街","Minquan 9th St."
"中州路","Zhongzhou Rd."
"本洲6街","Benzhou 6th St."
"軍港路","Jungang Rd."
"西嶺頂","Xilingding"
"五順街","Wushun St."
"竹圍南街","Zhuwei S. St."
"小徑","Xiaojing"
"大勇2街","Dayong 2nd St."
"北樂街","Beile St."
"順昌街","Shunchang St."
"灣子巷","Wanzi Ln."
"內環北路","Neihuan N. Rd."
"烏樹林","Wushulin"
"秀朗路","Xiulang Rd."
"中埔街","Zhongpu St."
"太平3街","Taiping 3rd St."
"普光1街","Puguang 1st St."
"水資路","Shuizi Rd."
"虎寮潭","Huliaotan"
"大漢家園","Dahan Jiayuan"
"立新2街","Lixin 2nd St."
"瑞祥路","Ruixiang Rd."
"大坑巷","Dakeng Ln."
"雲和街","Yunhe St."
"更生街","Gengsheng St."
"南順5街","Nanshun 5th St."
"自強新路","Ziqiangxin Rd."
"建8路","Jian 8th Rd."
"憲光八村","Xianguang 8th Vil."
"燒炭窩","Shaotanwo"
"北保2街","Beibao 2nd St."
"山上巷","Shanshang Ln."
"東7路","E. 7th Rd."
"安宅十街","Anzhai 10th St."
"同德1街","Tongde 1st St."
"海成北街","Haicheng N. St."
"五分路","Wufenlujiau"
"寧夏1街","Ningxia 1st St."
"長億5街","Changyi 5th St."
"陽明2街","Yangming 2nd St."
"應菜龍","Yingcailong"
"烏竹街","Wuzhu St."
"姜文街","Jiangwen St."
"頂寮3街","Dingliao 3rd St."
"下揖子寮","Xiayiziliao"
"永樂2街","Yongle 2nd St."
"智仁巷","Zhiren Ln."
"進修街","Jinxiu St."
"湳埔巷","Nanpu Ln."
"安北","Anbei"
"清明街","Qingming St."
"雲林溪攤販區","Yunlin River"
"關","Guan"
"冷水路","Lengshui Rd."
"東發路","Dongfa Rd."
"永新5街","Yongxin 5th St."
"三部6路","Sanbu 6th Rd."
"安興街","Anxing St."
"新二港","Xin’ergang"
"南北9街","Nanbei 9th St."
"壽生巷","Shousheng Ln."
"市下巷","Shixia Ln."
"東2段","Dong Sec. 2"
"上埤巷","Shangpi Ln."
"溝邊","Goubian"
"打鐵店","Datiedian"
"奮起湖","Fenqihu"
"中原5街","Zhongyuan 5th St."
"豐洲路","Fengzhou Rd."
"學府路","Xuefu Rd."
"麻竹窩","Mazhuwo"
"科北3路","Kebei 3rd Rd."
"太東街","Taidong St."
"竹站路","Zhuzhan Rd."
"勝安街","Sheng’an St."
"賓朗路","Binlang Rd."
"碧候路","Bihou Rd."
"莒光街","Juguang St."
"合園巷","Heyuan Ln."
"環金路","Huanjin Rd."
"三民北路","Sanmin N. Rd."
"西苑3街","Xiyuan 3rd St."
"宏志街","Hongzhi St."
"福源","Fuyuan"
"公6街","Gong 6th St."
"文敬路","Wenjing Rd."
"田厝路","Tiancuo Rd."
"民權1街","Minquan 1st St."
"崇仰7路","Chongyang 7th Rd."
"正氣巷","Zhengqi Ln."
"龍美街","Longmei St."
"瓊文巷","Qiongwen Ln."
"臺上路","Taishang Rd."
"中2街","Central 2nd St."
"二灣","Erwan"
"月光巷","Yueguang Ln."
"掌潭","Zhangtan"
"文孝街","Wenxiao St."
"萊坑","Laikeng"
"三界壇後","Sanjietanhou"
"崙子頂","Lunziding"
"裕和2街","Yuhe 2nd St."
"復興3路","Fuxing 3rd Rd."
"茄苳湖","Jiadonghu"
"精科路","Jingke Rd."
"甲堤7街","Jiati 7th St."
"南京6街","Nanjing 6th St."
"慈德巷","Cide Ln."
"復國路","Fuguo Rd."
"清雲巷","Qingyun Ln."
"金陵街","Jinling St."
"新甲路","Xinjia Rd."
"文水路","Wenshui Rd."
"同安街","Tong’an St."
"橫科路","Hengke Rd."
"國盛4街","Guosheng 4th St."
"九芎街","Jiuqiong St."
"麻利霧","Maliwu"
"嘉豐6路","Jiafeng 6th Rd."
"惠好路","Huihao Rd."
"燥坑","Zaokeng"
"陜西東5街","Shanxi E. 5th St."
"崎子頭","Qizitou"
"桃子腳路","Taozijiao Rd."
"溪南巷","Xinan Ln."
"番子崙","Fanzilun"
"寧波街","Ningpo St."
"中庄街","Zhongzhuang St."
"世平3街","Shiping 3rd St."
"瑞山巷","Ruishan Ln."
"通安路","Tong’an Rd."
"泉州巷","Quanzhou Ln."
"西江北街","Xijiang N. St."
"華愛新村","Hua’ai Vil."
"蚵寮街","Keliao St."
"清靜巷","Qingjing Ln."
"初來","Chulai"
"梅花路","Meihua Rd."
"安十街","An 10th St."
"嘉稅一村","Jiashui 1st Vil."
"宜欣4街","Yixin 4th St."
"老伯公","Laobogong"
"中通路","Zhongtong Rd."
"旱溪東巷","Hanxi E. Ln."
"陸光六村","Luguang 6th Vil."
"芎蕉5街","Qiongjiao 5th St."
"圓光1路","Yuanguang 1st Rd."
"溫州街","Wenzhou St."
"大觀街","Daguan St."
"萬金路","Wanjin Rd."
"內思路","Neisi Rd."
"三界壇店","Sanjietan Dian"
"慶豐11街","Qingfeng 11th St."
"高青路","Gaoqing Rd."
"興祥街","Xingxiang St."
"雲集街","Yunji St."
"英才巷","Yingcai Ln."
"天乙街","Tianyi St."
"立德3路","Lide 3rd Rd."
"文成5街","Wencheng 5th St."
"澄觀路","Chengguan Rd."
"埔頂2街","Puding 2nd St."
"梨子巷","Lizi Ln."
"中央南3路","Zhongyang S. 3rd Rd."
"大東街","Dadong St."
"大墩16街","Dadun 16th St."
"福泰","Futai"
"三厝東","Sancuo E. 1st Ln."
"海德7路","Haide 7th Rd."
"智成街","Zhicheng St."
"海景路","Haijing Rd."
"高楠7街","Gaonan 7th St."
"中心路","Zhongxin Rd."
"新庄路","Xinzhuang Rd."
"羊橋","Yangqiao"
"香檳1街","Xiangbin 1st St."
"竹蓮街","Zhulian St."
"華山1街","Huashan 1st St."
"河南巷","Henan Ln."
"長安8街","Chang’an 8th St."
"頂崙巷","Dinglun Ln."
"國光5街","Guoguang 5th St."
"五汴頭","Wubiantou"
"開明巷","Kaiming Ln."
"同正街","Tongzheng St."
"長威1街","Changwei 1st St."
"桂東路","Guidong Rd."
"竹圍中街","Zhuwei Central St."
"仁和巷","Renhe Ln."
"工業東3路","Gongye E. 3rd Rd."
"興業二村","Xingye 2nd Vil."
"上海街","Shanghai St."
"昇平路","Shengping Rd."
"文強路","Wenqiang Rd."
"十街","10th St."
"大明2路","Daming 2nd Rd."
"長青街","Changqing St."
"維和街","Weihe St."
"東高山頂","Donggao Shanding"
"福民","Fumin"
"佳祥巷","Jiaxiang Ln."
"番花路","Fanhua Rd."
"柏川3路","Bochuan 3rd Rd."
"延長街","Yanchang St."
"農墾2街","Nongken 2nd St."
"博愛南路","Bo’ai S. Rd."
"金鳳街","Jinfeng St."
"功學社新村","Gongxueshe Vil."
"泰中路","Taizhong Rd."
"新吉北街","Xinji N. St."
"朴子3路","Puzi 3rd Rd."
"大社街","Dashe St."
"中康3街","Zhongkang 3rd St."
"員潭子坑","Yuantanzikeng"
"泰和東街","Taihe E. St."
"三泉巷","Sanquan Ln."
"竹篙厝","Zhugaocuo"
"甲堤11街","Jiati 11th St."
"大吉街","Daji St."
"華美2街","Huamei 2nd St."
"望和巷","Wanghe Ln."
"集集街","Jiji St."
"泰昌5街","Taichang 5th St."
"興鶴路","Xinghe Rd."
"復華7街","Fuhua 7th St."
"湖前街","Huqian St."
"府南1路","Funan 1st Rd."
"五豐街","Wufeng St."
"裕民1路","Yumin 1st Rd."
"中周寮","Zhongzhouliao"
"航科路","Hangke Rd."
"振泰街","Zhentai St."
"廣安3街","Guang’an 3rd St."
"陜西8街","Shanxi 8th St."
"中興東村","Zhongxing E. Vil."
"楓林2路","Fenglin 2nd Rd."
"景化街","Jinghua St."
"慈航2路","Cihang 2nd Rd."
"豐田5街","Fengtian 5th St."
"內定16街","Neiding 16th St."
"社寮","Sheliao"
"渡船頭","Duchuantou"
"樹人街","Shuren St."
"後驛街","Houyi St."
"中山9街","Zhongshan 9th St."
"遼陽1街","Liaoyang 1st St."
"土庫5路","Tuku 5th Rd."
"永康路","Yongkang Rd."
"中4路","Central 4th Rd."
"麻園2街","Mayuan 2nd St."
"金鼎巷","Jinding Ln."
"新仁4街","Xinren 4th St."
"月眉","Yuemei 2nd Ln."
"華錦街","Huajin St."
"吉尾巷","Jiwei Ln."
"坑底路","Kengdi Rd."
"翠雲街","Cuiyun St."
"塗墩巷","Tudun Ln."
"柑竹路","Ganzhu Rd."
"賢義街","Xianyi St."
"蚵寮路","Keliao Rd."
"天乙路","Tianyi Rd."
"旋流路","Xuanliu Rd."
"惠南巷","Huinan Ln."
"精誠27街","Jingcheng 27th St."
"臺貿路","Taimao Rd."
"埔仔厝","Puzaicuo"
"義大1街","Yida 1st St."
"大觀路","Daguan Rd."
"文吉路","Wenji Rd."
"嘉勝路","Jiasheng Rd."
"中庄下崁","Zhongzhuangxiakan"
"鹿北巷","Lubei Ln."
"豐工南路","Fenggong S. Rd."
"廷美街","Tingmei St."
"溪仔口","Xizaikou"
"石門新村","Shimen Vil."
"栗子崙","Lizilun"
"九芎路","Jiuqiong Rd."
"同安路","Tong’an Rd."
"大進9路","Dajin 9th Rd."
"富山3街","Fushan 3rd St."
"金陵路","Jinling Rd."
"通安街","Tong’an St."
"光耀街","Guangyao St."
"東厝路","Dongcuo Rd."
"鐵道路","Tiedao Rd."
"萬昌街","Wanchang St."
"梧州街","Wuzhou St."
"高職農場","Gaozhi Farm"
"至賢街","Zhixian St."
"平生巷","Pingsheng Ln."
"福樂","Fule"
"光明中巷","Guangming Central Ln."
"南科1路","Nanke 1st Rd."
"街陳厝巷","Chencuo Ln."
"金獅寮","Jinshiliao"
"后螺","Houluo"
"龍美路","Longmei Rd."
"許厝庄仔","Xucuozhuangzai"
"內湖","Neihu"
"民權1路","Minquan 1st Rd."
"田厝街","Tiancuo St."
"土城西路","Tucheng W. Rd."
"復國街","Fuguo St."
"明仁3街","Mingren 3rd St."
"合和巷","Hehe Ln."
"國富4街","Guofu 4th St."
"嘉興1街","Jiaxing 1st St."
"北圳巷","Beizun Ln."
"互助1街","Huzhu 1st St."
"衙慶2街","Yaqing 2nd St."
"什股5街","Shigu 5th St."
"瑞日街","Ruiri St."
"重光","Chongguang"
"復興3街","Fuxing 3rd St."
"文孝路","Wenxiao Rd."
"上石嵙巷","Shangshike Ln."
"榮祥巷","Rongxiang Ln."
"正道街","Zhengdao St."
"東明2街","Dongming 2nd St."
"華新巷","Huaxin Ln."
"學府街","Xuefu St."
"懷寧街","Huaining St."
"二甲","Erjia"
"光啟路","Guangqi Rd."
"牛鬥巷","Niudou Ln."
"忠興","Zhongxing"
"德峰街","Defeng St."
"安全路","Anquan Rd."
"富田2街","Futian 2nd St."
"大羅蘭","Daluolan"
"豐田","Fengtian"
"湳湖","Nanhu"
"莒光路","Juguang Rd."
"橋北巷","Qiaobei Ln."
"醒路","Xing Rd."
"中溝巷","Zhonggou Ln."
"福權","Fuquan"
"虎興南路","Huxing S. Rd."
"五魁","Wukui 1st Ln."
"大學21路","Daxue 21st Rd."
"鰲新4街","Aoxin 4th St."
"高坪1街","Gaoping 1st St."
"崇賢路","Chongxian Rd."
"文心南路","Wenxin S. Rd."
"正英路","Zhengying Rd."
"中慶巷","Zhongqing Ln."
"荖溪","Laoxi"
"新工2路","Xingong 2nd Rd."
"小中寮","Xiaozhongliao"
"鹽水巷","Yanshui Ln."
"安通","Antong"
"佳隆街","Jialong St."
"伯公坪","Bogongping"
"和智街","Hezhi St."
"大擔","Dadan"
"土庫5街","Tuku 5th St."
"仁愛12街","Ren’ai 12th St."
"樹人路","Shuren Rd."
"補城路","Bucheng Rd."
"仁慈3街","Renci 3rd St."
"櫻花路","Yinghua Rd."
"勝安1街","Sheng’an 1st St."
"堤防巷","Tifang Ln."
"建和2街","Jianhe 2nd St."
"伯公坑","Bogongkeng"
"長寮埔","Changliaopu"
"安定巷","Anding Ln."
"楓林2街","Fenglin 2nd St."
"內洋","Neiyang"
"大社路","Dashe Rd."
"美術南6街","Meishu S. 6th St."
"公泰山","Gongtaishan"
"古蒼巷","Gucang Ln."
"富裕17街","Fuyu 17th St."
"三多2路","Sanduo 2nd Rd."
"溪心1路","Xixin 1st Rd."
"楓樹東街","Fengshu E. St."
"湖前路","Huqian Rd."
"僑嘉3街","Qiaojia 3rd St."
"東中巷","Dongzhong Ln."
"廟口路","Miaokou Rd."
"明鹿","Minglu"
"大吉路","Daji Rd."
"柯林5路","Kelin 5th Rd."
"五魁路","Wukui Rd."
"長竹巷","Changzhu Ln."
"華陰街","Huayin St."
"四德街","Side St."
"五豐1路","Wufeng 1st Rd."
"嘉新巷","Jiaxin Ln."
"莊禮寮","Zhuangliliao"
"展業1路","Zhanye 1st Rd."
"好收","Haoshou"
"警光一村","Jingguang 1st Vil."
"草子崎","Caoziqi"
"信光路","Xinguang Rd."
"上海路","Shanghai Rd."
"環工9路","Huangong 9th Rd."
"岳王路","Yuewang Rd."
"工8路","Gong 8th Rd."
"培安2街","Pei’an 2nd St."
"華亞1路","Huaya 1st Rd."
"文山北巷","Wenshan N. Ln."
"甲南里","Jianan Vil."
"建楠路","Jiannan Rd."
"長青路","Changqing Rd."
"長園3街","Changyuan 3rd St."
"竹民巷","Zhumin Ln."
"佛西街","Foxi St."
"福祿街","Fulu St."
"少康1街","Shaokang 1st St."
"建國","Jianguo 3rd Ln."
"富臺新村","Futai Vil."
"府前1街","Fuqian 1st St."
"進利3路","Jinli 3rd Rd."
"保安十街","Bao’an 10th St."
"果園街","Guoyuan St."
"海景街","Haijing St."
"尖山坑","Jianshankeng"
"新城北路","Xincheng N. Rd."
"南龍里","Nanlong Vil."
"大東路","Dadong Rd."
"龍慈路","Longci Rd."
"永順1街","Yongshun 1st St."
"番子寮","Fanziliao"
"埔頂2路","Puding 2nd Rd."
"三隆路","Sanlong Rd."
"撫順1街","Fushun 1st St."
"民安2街","Min’an 2nd St."
"名光街","Mingguang St."
"上山1路","Shangshan 1st Rd."
"成信街","Chengxin St."
"新庄街","Xinzhuang St."
"林森1路","Linsen 1st Rd."
"三吉1路","Sanji 1st Rd."
"覺民路","Juemin Rd."
"車站後街","Chezhanhou St."
"建進2路","Jianjin 2nd Rd."
"師範街","Shifan St."
"店子後","Dianzihou"
"玉康路","Yukang Rd."
"軍和巷","Junhe Ln."
"田埔巷","Tianpu Ln."
"潘厝巷","Pancuo Ln."
"建華新村","Jianhua Vil."
"橋仔村","Qiaozai Vil."
"武鹿巷","Wulu Ln."
"新樂路","Xinle Rd."
"海豊科","Hailike"
"內挖","Neiwa"
"西寧路","Xining Rd."
"敦和南路","Dunhe S. Rd."
"中平路","Zhongping Rd."
"香山路","Xiangshan Rd."
"福崙街","Fulun St."
"糖南宿舍","Dormitory of Tangnan"
"大生路","Dasheng Rd."
"安大路","Anda Rd."
"美術東5路","Meishu E. 5th Rd."
"北隆街","Beilong St."
"士良街","Shiliang St."
"公正東街","Gongzheng E. St."
"太原3街","Taiyuan 3rd St."
"學府東路","Xuefu E. Rd."
"城仔後","Chengzaihou"
"汐碇路","Xiding Rd."
"西安村","Xi’an Vil."
"進樂路","Jinle Rd."
"貴和街","Guihe St."
"陽翟新興社區","Yangzhaixinxing Community"
"興城路","Xingcheng Rd."
"路科8路","Luke 8th Rd."
"福星","Fuxing"
"湖東","Hudong"
"臺江大道4段","Taijiang Blvd."
"詩朗社","Shilangshe"
"東義街","Dongyi St."
"淋漓坪","Linliping"
"集福街","Jifu St."
"玉山巷","Yushan Ln."
"蜈蜞2路","Wuqi 2nd Rd."
"源成東路","Yuancheng E. Rd."
"金墩街","Jindun St."
"惠來路","Huilai Rd."
"廣興3街","Guangxing 3rd St."
"崇明6街","Chongming 6th St."
"新群1路","Xinqun 1st Rd."
"龍華北街","Longhua N. St."
"桃仔斜","Taozaixie"
"大學48街","Daxue 48th St."
"大金山下","Dajinshanxia"
"海成東街","Haicheng E. St."
"仁忠1街","Renzhong 1st St."
"永吉1街","Yongji 1st St."
"鳳安1街","Feng’an 1st St."
"明里","Mingli Rd."
"大平窩","Dapingwo"
"正隆巷","Zhenglong Ln."
"禾豐11路","Hefeng 11th Rd."
"寶宏路","Baohong Rd."
"峰南","Fengnan"
"埤口路","Pikou Rd."
"福玄路","Fuxuan Rd."
"民康街","Minkang St."
"三汴街","Sanbian St."
"文前街","Wenqian St."
"壽民路","Shoumin Rd."
"西賢4街","Xixian 4th St."
"嘉南1街","Jianan 1st St."
"大禹嶺","Dayuling"
"中正二十街","Zhongzheng 20th St."
"永光街","Yongguang St."
"郡西路","Junxi Rd."
"南坪巷","Nanping Ln."
"工業西7路","Gongye W. 7th Rd."
"楓樹西2街","Fengshu W. 2nd St."
"景賢7路","Jingxian 7th Rd."
"祥和5街","Xianghe 5th St."
"聖瑤西路","Shengyao W. Rd."
"內厝11路","Neicuo 11th Rd."
"東英9街","Dongying 9th St."
"工研路","Gongyan Rd."
"高民路","Gaomin Rd."
"溪仔底","Xizaidi"
"純精路","Chunjing Rd."
"臺北榮總東區","Taibeirongzong"
"靜修東路","Jingxiu E. Rd."
"慈善路","Cishan Rd."
"洲港路","Zhougang Rd."
"江西寮","Jiangxiliao"
"瑞源3街","Ruiyuan 3rd St."
"興美路","Xingmei Rd."
"舊泉州","Jiuquanzhou"
"十股","Shigu"
"重光路","Chongguang Rd."
"東寧巷","Dongning Ln."
"明心街","Mingxin St."
"吉祥1街","Jixiang 1st St."
"本淵1街","Benyuan 1st St."
"東英12街","Dongying 12th St."
"五工2路","Wugong 2nd Rd."
"花園3街","Huayuan 3rd St."
"四村","Sicun Rd."
"忠勇西街","Zhongyong W. St."
"和祥7街","Hexiang 7th St."
"登寺巷","Dengsi Ln."
"新濱路","Xinbin Rd."
"埔頭坑","Putoukeng"
"安順路","Anshun Rd."
"文雅街","Wenya St."
"下文光","Xiawenguang"
"忠善路","Zhongshan Rd."
"月湖路","Yuehu Rd."
"大順街","Dashun St."
"長平北路","Changping N. Rd."
"下湖2街","Xiahu 2nd St."
"安生街","Ansheng St."
"下樟樹林","Xia Zhangshulin"
"苦練腳","Kulianjiao"
"庄頭","Zhuangtou"
"大公7街","Dagong 7th St."
"中華街","Zhonghua St."
"界橋","Jieqiao"
"田單1街","Tiandan 1st St."
"崇德33街","Chongde 33rd St."
"振德街","Zhende St."
"臺鋁南巷","Tailu S. Ln."
"家興新村","Jiaxing Vil."
"三光巷","Sanguang Ln."
"南坑巷","Nankeng Ln."
"客庄路","Kezhuang Rd."
"梨園寮","Liyuanliao"
"界和路","Jiehe Rd."
"五平街","Wuping St."
"榮村","Rong Vil."
"龍善3街","Longshan 3rd St."
"西圳巷","Xizun Ln."
"港崗路","Ganggang Rd."
"智理街","Zhili St."
"灰窯坑","Huiyaokeng"
"干城1街","Gancheng 1st St."
"大峰峰","Dafengfeng"
"后街","Houjiedonghua Ln."
"雙榮路","Shuangrong Rd."
"興隆街","Xinglong St."
"育英5街","Yuying 5th St."
"番子坑","Fanzikeng"
"七崙仔","Qilunzai"
"番子坡","Fanzipo"
"五間","Wujian"
"鎮發街","Zhenfa St."
"鎮安巷","Zhen’an Ln."
"香源街","Xiangyuan St."
"福金新村","Fujin Vil."
"番子園","Fanziyuan"
"文山6街","Wenshan 6th St."
"明德巷","Mingde Ln."
"竹湖村","Zhuhu Vil."
"壢中新村","Lizhong Vil."
"仰德大道1段","Yangde Blvd."
"大埤1路","Dapi 1st Rd."
"赤嵌街","Chiqian St."
"社區","Shequ Ln."
"宋厝巷","Songcuo Ln."
"尖山子","Jianshanzi"
"橫圳頂","Hengzunding"
"菁華街","Jinghua St."
"幸福路","Xingfu Rd."
"東英十街","Dongying 10th St."
"玉寶路","Yubao Rd."
"延平1路","Yanping 1st Rd."
"田寮一橫巷","Tianliao 1st Side Ln."
"國榮路","Guorong Rd."
"祥和新莊","Xianghe Xinzhuang"
"五權5街","Wuquan 5th St."
"福興7街","Fuxing 7th St."
"建安","Jian’an"
"聖南街","Shengnan St."
"綠川北街","Luchuan N. St."
"大峰巷","Dafeng Ln."
"武立街","Wuli St."
"華豐街","Huafeng St."
"雪峰路","Xuefeng Rd."
"永光路","Yongguang Rd."
"學成1街","Xuecheng 1st St."
"公誠6街","Gongcheng 6th St."
"樂全街","Lequan St."
"伯公崀","Bogonglang"
"永華3街","Yonghua 3rd St."
"永科3路","Yongke 3rd Rd."
"法華街","Fahua St."
"舊車站","Jiuchezhan"
"九份","Jiufen"
"振興東街","Zhenxing E. St."
"南勢西路","Nanshi W. Rd."
"新建市","Xinjian Market"
"八櫃","Bagui"
"新寮1路","Xinliao 1st Rd."
"保忠3街","Baozhong 3rd St."
"排子路","Paizi Rd."
"南溪路","Nanxi Rd."
"崎漏路","Qilou Rd."
"灣子溝","Wanzigou"
"山知崙","Shanzhilun"
"鼎金","Dingjin 6th Ln."
"民治21街","Minzhi 21st St."
"鴻福","Hongfu"
"外澳路","Wai’ao Rd."
"金華新路","Jinhuaxin Rd."
"大北路","Dabei Rd."
"竹茹巷","Zhuru Ln."
"樹人2街","Shuren 2nd St."
"格致街","Gezhi St."
"寶深路","Baoshen Rd."
"竹篙山","Zhugaoshan"
"惠來街","Huilai St."
"孔聖","Kongsheng"
"後寮2路","Houliao 2nd Rd."
"三民西路","Sanmin W. Rd."
"樹仁2街","Shuren 2nd St."
"致富巷","Zhifu Ln."
"南平街","Nanping St."
"城西6街","Chengxi 6th St."
"三芬路","Sanfen Rd."
"梨園巷","Liyuan Ln."
"九如巷","Jiuru Ln."
"西川路","Xichuan Rd."
"馬光農場","Maguang Farm"
"伯公巷","Bogong Ln."
"文泉莊","Wenquanzhuang"
"十號","Shihao Rd."
"內林","Neilin"
"南橫路","Nanheng Rd."
"永德巷","Yongde Ln."
"狗頭","Goutou"
"聯華街","Lianhua St."
"溫水溪","Wenshuixi"
"東北巷","Dongbei Ln."
"科大2街","Keda 2nd St."
"潮仁路","Chaoren Rd."
"福中十街","Fuzhong 10th St."
"光智巷","Guangzhi Ln."
"集里","Jili Rd."
"保東路","Baodong Rd."
"大墩南路","Dadun S. Rd."
"順應巷","Shunying Ln."
"鹽田2街","Yantian 2nd St."
"十全西街","Shiquan W. St."
"尖山巷","Jianshan Ln."
"介壽巷","Jieshou Ln."
"東義路","Dongyi Rd."
"富和路","Fuhe Rd."
"興城街","Xingcheng St."
"文德2路","Wende 2nd Rd."
"大塭寮","Dawenliao"
"廣聲新城","Guangsheng Xincheng"
"工作地","Gongzuodi"
"富貴15街","Fugui 15th St."
"育誠街","Yucheng St."
"園東1街","Yuandong 1st St."
"伯公岡","Bogonggang"
"大排5路","Dapai 5th Rd."
"大源3街","Dayuan 3rd St."
"永坤路","Yongkun Rd."
"新振巷","Xinzhen Ln."
"大德5街","Dade 5th St."
"武崙街","Wulun St."
"同心路","Tongxin Rd."
"居仁巷","Juren Ln."
"上杉路","Shangshan Rd."
"新","Xin 2nd Ln."
"小池角","Xiaochijiao"
"橫湳路","Hengnan Rd."
"和平西路","Heping W. Rd."
"中平街","Zhongping St."
"庄中路","Zhuangzhong Rd."
"明駝巷","Mingtuo Ln."
"武進街","Wujin St."
"西寧街","Xining St."
"大公14街","Dagong 14th St."
"福正巷","Fuzheng Ln."
"永科北路","Yongke N. Rd."
"新樂街","Xinle St."
"衡陽1街","Hengyang 1st St."
"忠智巷","Zhongzhi Ln."
"建平14街","Jianping 14th St."
"崇文巷","Chongwen Ln."
"學5街","Xue 5th St."
"慶平巷","Qingping Ln."
"州平1街","Zhouping 1st St."
"萬安","Wan’an"
"展業路","Zhanye Rd."
"內海墘","Neihaiqian"
"幸福街","Xingfu St."
"樹山路","Shushan Rd."
"大火房","Dahuofang"
"花園十路","Huayuan 10th Rd."
"安樂3街","Anle 3rd St."
"嘉朴路","Jiapu Rd."
"萬富","Wanfu"
"健東1街","Jiandong 1st St."
"城西1街","Chengxi 1st St."
"園南2路","Yuannan 2nd Rd."
"八棟","Badong"
"萬寧","Wanning"
"海埔巷","Haipu Ln."
"五權5路","Wuquan 5th Rd."
"縣政8街","Xianzheng 8th St."
"永群街","Yongqun St."
"尊王路","Zunwang Rd."
"西勢1街","Xishi 1st St."
"三星路","Sanxing Rd."
"同德11街","Tongde 11th St."
"伯公後","Bogonghou"
"藍昌路","Lanchang Rd."
