"樟原","Zhangyuan"
"福生巷","Fusheng Ln."
"北庄路","Beizhuang Rd."
"新生街","Xinsheng St."
"慈航路","Cihang Rd."
"興全路","Xingquan Rd."
"南北11街","Nanbei 11th St."
"裕德街","Yude St."
"郵工新村","Yougong Vil."
"上大段","Sec. Shangda"
"新貴北街","Xingui N. St."
"南滬崎頭","Nanhu Qitou"
"車店路","Chedian Rd."
"長順街","Changshun St."
"紹興路","Shaoxing Rd."
"育新巷","Yuxin Ln."
"東興南街","Dongxing S. St."
"黎明2街","Liming 2nd St."
"智仁街","Zhiren St."
"開高巷","Kaigao Ln."
"凱國路","Kaiguo Rd."
"光華東路","Guanghua E. Rd."
"王府巷","Wangfu Ln."
"凍頂巷","Dongding Ln."
"自治新村","Zizhi Vil."
"興業路","Xingye Rd."
"永吉街","Yongji St."
"龍鑾巷","Longluan Ln."
"大聖路","Dasheng Rd."
"文橫1路","Wenheng 1st Rd."
"寶慶1路","Baoqing 1st Rd."
"牛頭路","Niutou Rd."
"宏德新村","Hongde Vil."
"大埔1路","Dapu 1st Rd."
"仁平巷","Renping Ln."
"造船路","Zaochuan Rd."
"順昌巷","Shunchang Ln."
"長春2街","Changchun 2nd St."
"義5路","Yi 5th Rd."
"阿公店路","Agongdian Rd."
"歸仁7路","Guiren 7th Rd."
"平元","Pingyuan"
"大順6街","Dashun 6th St."
"環館1路","Huanguan 1st Rd."
"永大5路","Yongda 5th Rd."
"大源26街","Dayuan 26th St."
"天寶街","Tianbao St."
"好來1街","Haolai 1st St."
"明潭路","Mingtan Rd."
"更生巷","Gengsheng Ln."
"建功路","Jiangong Rd."
"忠治","Zhongzhi"
"民生南街","Minsheng S. St."
"澄清巷","Chengqing Ln."
"溪洲仔","Xizhouzai"
"拔子林富升巷","Bazilinfusheng Ln."
"高鵬1街","Gaopeng 1st St."
"正義3街","Zhengyi 3rd St."
"修文路","Xiuwen Rd."
"松羅南巷","Songluo S. Ln."
"民鋒路","Minfeng Rd."
"興和路","Xinghe Rd."
"午沙村","Wusha Vil."
"祖師公","Zushigong"
"府文路","Fuwen Rd."
"八德5街","Bade 5th St."
"文苑街","Wenyuan St."
"雲鄉","Yunxiang Rd."
"潭底子","Tandizi"
"大容東街","Darong E. St."
"潭坪","Tanping"
"六重溪","Liuchongxi"
"華南巷","Huanan Ln."
"咬仔竹","Yaozaizhu"
"圳寮巷","Zunliao Ln."
"東美街","Dongmei St."
"歸仁14路","Guiren 14th Rd."
"東門路","Dongmen Rd."
"龍東街","Longdong St."
"九東路","Jiudong Rd."
"中湖路","Zhonghu Rd."
"崇德十街","Chongde 10th St."
"惠深2路","Huishen 2nd Rd."
